,0
elo_exp_home,0.23031654480200633
elo_diff,0.22797076238301076
elo_home,0.1744438958218269
home_gf_mean,0.13552152898204847
home_goal_diff_mean,0.12972189863185296
home_pts_mean,0.10074121530230276
oof_proba,0.03879718843925793
away_ga_mean,0.036546548612473
away_rest_days,0.009673022618187041
home_rest_days,-0.009131175389534368
home_ga_mean,-0.05002854948585451
away_hist_n,-0.052780193211376315
home_hist_n,-0.052780193211376315
away_pts_mean,-0.09750496603810088
away_goal_diff_mean,-0.10823546382662294
away_gf_mean,-0.11739330587520176
elo_away,-0.15676926663395538
