feature,importance,abs_importance
elo_exp_home,0.37538698950596633,0.37538698950596633
away_pts_mean,0.271551039649936,0.271551039649936
home_gf_mean,0.26674534105902403,0.26674534105902403
home_pts_mean,-0.24303826177097906,0.24303826177097906
away_gf_mean,-0.21194783920003196,0.21194783920003196
home_goal_diff_mean,0.1486254420386153,0.1486254420386153
home_rest_days,-0.13749531625637396,0.13749531625637396
away_rest_days,0.12865010093576718,0.12865010093576718
away_goal_diff_mean,-0.11454048575214597,0.11454048575214597
away_hist_n,-0.06330782191328906,0.06330782191328906
home_hist_n,-0.06330782191328906,0.06330782191328906
elo_diff,0.05956389672239002,0.05956389672239002
away_ga_mean,-0.054472058304241025,0.054472058304241025
home_ga_mean,0.05368330579343672,0.05368330579343672
elo_away,-0.04579848307581364,0.04579848307581364
elo_home,0.040715280444523355,0.040715280444523355
